Subject_ID,A,B,C
2,0.33628744585116216,0.3425086359206042,0.32819271038500325
3,0.3245387209804123,0.27993075889822966,0.2014986164683111
4,0.22806186974736795,0.3721182902740637,0.34292042804685735
5,0.3850749250433463,0.41893539502810667,0.4128406112322845
6,0.3338210224647578,0.29434047745012654,0.25312638393001513
7,0.37521937019641055,0.28528122634725633,0.21532868471901231
8,0.2661694204888582,0.3057585098092278,0.2368867098498796
9,0.29689674377530967,0.3155332856909064,0.2231655988676248
10,0.34751358352024475,0.36489374761955506,0.29288112817445316
11,0.27980566462040946,0.19196417092481707,0.36178439128907586
