Eval_ID,Original_Seq,Condition,Character,Src_Path,New_Filename,Status
4,1,A,刁 (チョウ),./実験データ\004\img_001.png,img_004_001.png,Success
5,2,A,刁 (チョウ),./実験データ\005\img_002.png,img_005_002.png,Success
6,8,A,刁 (チョウ),./実験データ\006\img_008.png,img_006_008.png,Success
2,8,A,刁 (チョウ),./実験データ\002\img_008.png,img_002_008.png,Success
4,2,A,爻 (コウ),./実験データ\004\img_002.png,img_004_002.png,Success
5,3,A,爻 (コウ),./実験データ\005\img_003.png,img_005_003.png,Success
6,9,A,爻 (コウ),./実験データ\006\img_009.png,img_006_009.png,Success
2,9,A,爻 (コウ),./実験データ\002\img_009.png,img_002_009.png,Success
4,3,A,乎 (コ),./実験データ\004\img_003.png,img_004_003.png,Success
5,1,A,乎 (コ),./実験データ\005\img_001.png,img_005_001.png,Success
6,7,A,乎 (コ),./実験データ\006\img_007.png,img_006_007.png,Success
2,7,A,乎 (コ),./実験データ\002\img_007.png,img_002_007.png,Success
4,6,B,刁 (チョウ),./実験データ\004\img_006.png,img_004_006.png,Success
5,9,B,刁 (チョウ),./実験データ\005\img_009.png,img_005_009.png,Success
6,1,B,刁 (チョウ),./実験データ\006\img_001.png,img_006_001.png,Success
2,6,B,刁 (チョウ),./実験データ\002\img_006.png,img_002_006.png,Success
4,4,B,爻 (コウ),./実験データ\004\img_004.png,img_004_004.png,Success
5,7,B,爻 (コウ),./実験データ\005\img_007.png,img_005_007.png,Success
6,2,B,爻 (コウ),./実験データ\006\img_002.png,img_006_002.png,Success
2,4,B,爻 (コウ),./実験データ\002\img_004.png,img_002_004.png,Success
4,5,B,乎 (コ),./実験データ\004\img_005.png,img_004_005.png,Success
5,8,B,乎 (コ),./実験データ\005\img_008.png,img_005_008.png,Success
6,3,B,乎 (コ),./実験データ\006\img_003.png,img_006_003.png,Success
2,5,B,乎 (コ),./実験データ\002\img_005.png,img_002_005.png,Success
4,8,C,刁 (チョウ),./実験データ\004\img_008.png,img_004_008.png,Success
5,4,C,刁 (チョウ),./実験データ\005\img_004.png,img_005_004.png,Success
6,6,C,刁 (チョウ),./実験データ\006\img_006.png,img_006_006.png,Success
2,1,C,刁 (チョウ),./実験データ\002\img_001.png,img_002_001.png,Success
4,9,C,爻 (コウ),./実験データ\004\img_009.png,img_004_009.png,Success
5,5,C,爻 (コウ),./実験データ\005\img_005.png,img_005_005.png,Success
6,4,C,爻 (コウ),./実験データ\006\img_004.png,img_006_004.png,Success
2,2,C,爻 (コウ),./実験データ\002\img_002.png,img_002_002.png,Success
4,7,C,乎 (コ),./実験データ\004\img_007.png,img_004_007.png,Success
5,6,C,乎 (コ),./実験データ\005\img_006.png,img_005_006.png,Success
6,5,C,乎 (コ),./実験データ\006\img_005.png,img_006_005.png,Success
2,3,C,乎 (コ),./実験データ\002\img_003.png,img_002_003.png,Success
