Command,X,Y,Z,F,Delay_ms,Cell_ID
G0,-156.07,-64.89,0,,,18
G1,-135.51,-62.22,2.17,1592,942,19
G1,-112.02,-57.14,2.26,7500,200,20
G1,-90.39,-52.07,2.31,10000,150,21
G1,-76.5,-49.13,2.37,15000,100,13
G1,-58.08,-44.59,2.35,10000,150,14
G1,-44.19,-42.19,2.9,2000,750,15
G1,-38.85,-63.28,3.31,2196,683,23
G1,-39.92,-84.91,3.43,7212,208,31
G1,-42.59,-113.22,3.49,7463,201,39
G1,-46.6,-136.45,3.16,9434,159,47
G1,-49.8,-150.6,3,10000,150,55
G1,-57.81,-166.36,3.02,6000,250,54
G1,-81.04,-156.21,0,1111,1350,53
G0,-178.24,-135.91,0,,,41
G1,-161.68,-135.38,1.75,2646,567,42
G1,-143.52,-125.23,1.45,10000,150,43
G1,-135.78,-120.69,1.36,30000,50,35
G1,-116.02,-109.21,0.77,15000,100,36
G1,-100.8,-99.33,0.12,30000,50,28
G1,-87.72,-90.52,0,40541,37,29
